iter	Logloss
0	0.6897678332
1	0.6861496026
2	0.6830938003
3	0.6802076597
4	0.6773165232
5	0.6745137266
6	0.6708512286
7	0.6679499213
8	0.6654620617
9	0.6626135448
10	0.6596053038
11	0.6566175504
12	0.6536988717
13	0.6513049722
14	0.6486245988
15	0.6456754948
16	0.6428157949
17	0.6401907686
18	0.6373904882
19	0.6351170559
20	0.6323766279
21	0.6295568251
22	0.6272063172
23	0.624643502
24	0.6222130451
25	0.619912087
26	0.6174530704
27	0.6152737769
28	0.6130840094
29	0.6114894694
30	0.6090226132
31	0.6065056876
32	0.6041507365
33	0.6020239923
34	0.6000552805
35	0.5982634024
36	0.5962501508
37	0.5943458419
38	0.5930786246
39	0.5912226597
40	0.5893910107
41	0.5874210206
42	0.5849609759
43	0.5830229805
44	0.5807194957
45	0.5788772797
46	0.5765982804
47	0.5753874192
48	0.5733114581
49	0.5715951697
50	0.5696429864
51	0.5676526853
52	0.5658962819
53	0.5643484781
54	0.5627906248
55	0.5610007534
56	0.5598273039
57	0.557979434
58	0.5565702188
59	0.5548388496
60	0.5531570011
61	0.5517881649
62	0.5502847365
63	0.5489264369
64	0.5479748742
65	0.5463020902
66	0.545126158
67	0.5435270196
68	0.541945653
69	0.540323239
70	0.5393470859
71	0.5375337073
72	0.5360525379
73	0.5343425886
74	0.5333602913
75	0.5319049347
76	0.5309150649
77	0.52936756
78	0.5282305817
79	0.5266562037
80	0.5255499429
81	0.5239457045
82	0.5228835212
83	0.5213738069
84	0.5203755214
85	0.5189291897
86	0.5175964713
87	0.515908525
88	0.5142991107
89	0.5125628
90	0.5118138347
91	0.5106522305
92	0.5098918388
93	0.5086953778
94	0.5077196288
95	0.5068631592
96	0.5057218641
97	0.5047726715
98	0.5039175581
99	0.5025398442
100	0.5015003508
101	0.5005260991
102	0.4990266573
103	0.4976527522
104	0.4962506434
105	0.4948671574
106	0.4934547574
107	0.4920720961
108	0.4911953212
109	0.4899550318
110	0.4890008135
111	0.4878690174
112	0.4869680396
113	0.4862601151
114	0.4848835315
115	0.4842575519
116	0.4832505447
117	0.4824086159
118	0.4818596469
119	0.4808202192
120	0.4799487865
121	0.4790862253
122	0.4783400713
123	0.4777445836
124	0.4769846814
125	0.4762912649
126	0.475290637
127	0.4741766995
128	0.4730067673
129	0.4723032008
130	0.4710626642
131	0.4702191408
132	0.4694435457
133	0.4687943459
134	0.4678250306
135	0.4666788201
136	0.4655435989
137	0.4646613124
138	0.4636975502
139	0.4627672023
140	0.46184335
141	0.4610132305
142	0.4599761169
143	0.4592141452
144	0.4583955043
145	0.4577639006
146	0.4571783732
147	0.4564384347
148	0.4555591636
149	0.4549492375
150	0.4541536169
151	0.4536959375
152	0.4528934971
153	0.4522283606
154	0.4517309714
155	0.4508053739
156	0.4502021455
157	0.4496475092
158	0.448961816
159	0.4482735292
160	0.4476850562
161	0.4471436846
162	0.4464041699
163	0.4449374783
164	0.4440265571
165	0.443207416
166	0.442370226
167	0.4413467716
168	0.4406275146
169	0.4401761135
170	0.4393765578
171	0.4389844115
172	0.4382914532
173	0.4375448644
174	0.4366312521
175	0.4355706367
176	0.4348917906
177	0.4347541337
178	0.4340481095
179	0.4332210269
180	0.4324500838
181	0.4317862131
182	0.4313937325
183	0.4307997154
184	0.4303173461
185	0.4297676502
186	0.4290800961
187	0.4283751883
188	0.4277128446
189	0.4268522574
190	0.4258951214
191	0.4253875514
192	0.4244896627
193	0.4237352722
194	0.423152319
195	0.4223561184
196	0.4219765288
197	0.4214527777
198	0.4209614091
199	0.420378749
200	0.4196541632
201	0.419080408
202	0.418574068
203	0.4180182883
204	0.4172562378
205	0.4167833066
206	0.4162045989
207	0.4156511032
208	0.4148874693
209	0.4143281716
210	0.4138920433
211	0.4132469918
212	0.4126847094
213	0.4119263209
214	0.4112780157
215	0.4108652129
216	0.4105541838
217	0.409954011
218	0.4093364391
219	0.4088110723
220	0.4082994066
221	0.4078121345
222	0.4072978963
223	0.4069792219
224	0.4065662364
225	0.4059997608
226	0.4055079376
227	0.4046904704
228	0.404159055
229	0.403400368
230	0.4028532598
231	0.4023135311
232	0.4018451593
233	0.4013972606
234	0.4009171513
235	0.4000213978
236	0.3993337105
237	0.3989547163
238	0.3984052855
239	0.397716482
240	0.3970151012
241	0.3965628606
242	0.3961196326
243	0.3953361007
244	0.3946766687
245	0.3943148316
246	0.393454001
247	0.3930013839
248	0.3925399225
249	0.3917660913
250	0.3911196684
251	0.3907943297
252	0.3903378298
253	0.3898152991
254	0.3894074949
255	0.3889885591
256	0.3885294259
257	0.3876225658
258	0.3872248144
259	0.3866700454
260	0.3861296377
261	0.3857316917
262	0.3854505059
263	0.385017196
264	0.3845579539
265	0.3842333219
266	0.3836511929
267	0.3831839571
268	0.3826843067
269	0.382088791
270	0.3814270683
271	0.3806529563
272	0.3799989482
273	0.3795743003
274	0.3792729531
275	0.3787698369
276	0.3781360001
277	0.3776576181
278	0.377290002
279	0.376683976
280	0.3760542785
281	0.3757886625
282	0.3752270021
283	0.3749764451
284	0.3742934336
285	0.3737278958
286	0.37309826
287	0.3728873217
288	0.3722298706
289	0.3715422937
290	0.3715356518
291	0.3709778112
292	0.370597862
293	0.3700538266
294	0.3696368614
295	0.3688796877
296	0.3681730526
297	0.3677496702
298	0.3675040316
299	0.3670917093
